Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
MAMBA,Joint,7,0.8777,0.2267,0.7149,0.3373,0.9152
MAMBA,Joint,8,0.8344,0.2834,0.677,0.3973,0.8352
MAMBA,Joint,9,0.7994,0.2588,0.727,0.3645,0.885
MAMBA,Joint,10,0.755,0.2896,0.7575,0.4014,0.8497
MAMBA,Joint,11,0.714,0.3656,0.7689,0.4824,0.7426
MAMBA,Joint,12,0.6832,0.3487,0.7158,0.4608,0.7248
MAMBA,Joint,13,0.6429,0.3301,0.7923,0.4637,0.6961
MAMBA,Joint,14,0.6034,0.3803,0.8257,0.5108,0.6883
MAMBA,Joint,15,0.5814,0.48,0.816,0.5976,0.6136
MAMBA,Joint,16,0.5594,0.4032,0.8488,0.5409,0.6681
MAMBA,Joint,17,0.5435,0.5,0.8638,0.6112,0.6746
MAMBA,Joint,18,0.534,0.4627,0.77,0.5724,0.5601
MAMBA,Joint,19,0.4987,0.4185,0.8208,0.5401,0.6752
MAMBA,Joint,20,0.4914,0.5579,0.8296,0.6578,0.5417
MAMBA,Joint,21,0.4715,0.4838,0.8326,0.6108,0.5346
MAMBA,Joint,22,0.4648,0.5044,0.8568,0.6262,0.5435
MAMBA,Joint,23,0.4583,0.5653,0.8631,0.6695,0.5244
MAMBA,Joint,24,0.4347,0.5173,0.893,0.6438,0.532
MAMBA,Joint,25,0.4369,0.5844,0.9195,0.6996,0.5092
MAMBA,Joint,26,0.4238,0.6371,0.9147,0.7302,0.5374
MAMBA,Joint,27,0.4037,0.6076,0.8704,0.7065,0.4734
MAMBA,Joint,28,0.3995,0.5219,0.9028,0.6417,0.5506
MAMBA,Joint,29,0.4043,0.4795,0.9227,0.6098,0.6143
MAMBA,Joint,30,0.3804,0.6486,0.8625,0.7354,0.4509
MAMBA,Joint,31,0.3719,0.5858,0.9507,0.7014,0.5396
MAMBA,Joint,32,0.3649,0.6755,0.9017,0.7643,0.4069
MAMBA,Joint,33,0.3556,0.5372,0.9382,0.6705,0.5237
MAMBA,Joint,34,0.3604,0.6657,0.9123,0.7544,0.425
MAMBA,Joint,35,0.3598,0.5697,0.9402,0.6914,0.5287
MAMBA,Joint,36,0.3639,0.5946,0.9445,0.7138,0.4781
MAMBA,Joint,37,0.3328,0.6331,0.8915,0.7377,0.3971
MAMBA,Joint,38,0.3166,0.6606,0.8635,0.7418,0.4528
MAMBA,Joint,39,0.3301,0.6575,0.8921,0.746,0.4318
MAMBA,Joint,40,0.3374,0.6365,0.778,0.6939,0.4192
MAMBA,Joint,41,0.3108,0.7067,0.8925,0.7867,0.3452
MAMBA,Joint,42,0.3118,0.5929,0.9491,0.714,0.4407
MAMBA,Joint,43,0.3398,0.6021,0.9419,0.7285,0.4018
MAMBA,Joint,44,0.3028,0.638,0.9153,0.7483,0.3689
MAMBA,Joint,45,0.3013,0.6852,0.9053,0.7709,0.3859
MAMBA,Joint,46,0.2801,0.5422,0.8699,0.6587,0.4324
MAMBA,Joint,47,0.2755,0.6418,0.9573,0.7565,0.4016
MAMBA,Joint,48,0.252,0.7313,0.9364,0.8159,0.3117
MAMBA,Joint,49,0.2344,0.754,0.8842,0.8138,0.3013
MAMBA,Joint,50,0.2362,0.7358,0.9539,0.8208,0.3289
MAMBA,Joint,51,0.2276,0.6804,0.9617,0.7846,0.373
MAMBA,Joint,52,0.2347,0.8299,0.8709,0.8496,0.2778
MAMBA,Joint,53,0.2199,0.7353,0.9499,0.8209,0.3109
MAMBA,Joint,54,0.2174,0.7334,0.9429,0.8186,0.296
MAMBA,Joint,55,0.2175,0.7308,0.9275,0.8125,0.3255
MAMBA,Joint,56,0.2219,0.7058,0.952,0.8076,0.286
MAMBA,Joint,57,0.2056,0.7944,0.9443,0.8579,0.2699
MAMBA,Joint,58,0.225,0.6966,0.9526,0.8001,0.3128
MAMBA,Joint,59,0.22,0.7291,0.9255,0.8124,0.2979
MAMBA,Joint,60,0.2061,0.7729,0.9215,0.8394,0.2665
MAMBA,Joint,61,0.2015,0.7973,0.9136,0.8507,0.2699
MAMBA,Joint,62,0.1978,0.7739,0.9458,0.8486,0.2617
MAMBA,Joint,63,0.1918,0.7482,0.9429,0.8306,0.2706
MAMBA,Joint,64,0.1946,0.7,0.9601,0.8039,0.3158
MAMBA,Joint,65,0.1924,0.795,0.9329,0.857,0.2537
MAMBA,Joint,66,0.1879,0.7965,0.9391,0.8602,0.2594
MAMBA,Joint,67,0.1906,0.6726,0.9616,0.7846,0.3443
MAMBA,Joint,68,0.1869,0.6244,0.957,0.7454,0.4421
MAMBA,Joint,69,0.186,0.7825,0.9443,0.8531,0.2583
MAMBA,Joint,70,0.1781,0.8178,0.9142,0.8632,0.233
MAMBA,Joint,71,0.1791,0.7874,0.9521,0.8542,0.2597
MAMBA,Joint,72,0.1695,0.8005,0.9519,0.8675,0.2351
MAMBA,Joint,73,0.1786,0.8452,0.9179,0.8782,0.2418
MAMBA,Joint,74,0.1783,0.8248,0.8973,0.8589,0.2826
MAMBA,Joint,75,0.173,0.7507,0.9689,0.8357,0.3052
MAMBA,Joint,76,0.1676,0.7254,0.9262,0.8135,0.3014
MAMBA,Joint,77,0.1466,0.8362,0.9445,0.8868,0.207
MAMBA,Joint,78,0.1409,0.7172,0.968,0.816,0.3152
MAMBA,Joint,79,0.142,0.8159,0.9459,0.875,0.2195
MAMBA,Joint,80,0.143,0.7635,0.9656,0.849,0.257
MAMBA,Joint,81,0.1375,0.8061,0.9454,0.8688,0.2348
MAMBA,Joint,82,0.1382,0.8144,0.9582,0.8772,0.2235
MAMBA,Joint,83,0.1423,0.7983,0.9627,0.8686,0.2193
MAMBA,Joint,84,0.129,0.8161,0.9588,0.8805,0.2066
MAMBA,Joint,85,0.1277,0.8034,0.9656,0.8742,0.2134
MAMBA,Joint,86,0.1243,0.8444,0.9472,0.8925,0.1968
MAMBA,Joint,87,0.124,0.839,0.9507,0.8907,0.1999
MAMBA,Joint,88,0.123,0.8284,0.9556,0.8872,0.1977
MAMBA,Joint,89,0.124,0.8452,0.95,0.8944,0.1947
MAMBA,Joint,90,0.1224,0.8333,0.9531,0.8882,0.203
MAMBA,Joint,91,0.1245,0.8467,0.9524,0.8956,0.2018
MAMBA,Joint,92,0.1215,0.8375,0.9525,0.8906,0.1996
MAMBA,Joint,93,0.1192,0.8336,0.9567,0.8903,0.1959
MAMBA,Joint,94,0.1169,0.8268,0.9596,0.887,0.208
